"Customer Login","ログイン"
"Forgot Your Password?","パスワードをお忘れですか？"
"Items to Invoice","請求書の対象商品"
"Items to Invoice and Ship","発送情報の対象商品"
"Store To Login To","代理ログイン先のショップ選択"
"Invoice #","請求書No."
"Gift options","ギフトメッセージを設定"
"Maximum 255 chars. Meta Description should optimally be between 150-160 characters","最大255文字としてください。 ""Meta Description""は150〜160文字程度が最適です。"
"Note: Keyboard shortcut to activate editor help : Alt + 0 (Windows) or ⌥0 (MacOS)","Note: エディタのヘルプ表示: Alt + 0 (Windows) or ⌥0 (MacOS)"
"Enable Inventory Check On Cart Load","カートデータの読込時に在庫有無の自動チェックをする"
"Enable for Coupon Codes","「クーポンコード入力」で有効にする"
"Enable for Braintree payment form","「Braintreeペイメント」で有効にする"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","もしくはお電話にてご連絡ください：<a href=""tel:%store_phone"">%store_phone</a>"
".","。"
"123","123"
"%1","%1"
"%1 %2","%1 %2"
"...","..."
"1000","1000"
"Gold","ゴールド"
"Small","Small"
"Medium","ミディアム"
"Large","ラージ"
"or","または"
"Password","パスワード"
"Ok","OK"
"Configure","構成"
"Reports","レポート"
"Failed","失敗"
"Unknown","不明"
"label","ラベル"
"Condition","コンディション"
"Value","値"
"Dashboard","ダッシュボード"
"ver. %1","ver. %1"
"Locked","ロック中"
"Conditions","コンディション"
"ALL","全て"
"ANY","すべて"
"Yes","YES"
"No","NO"
"Status","ステータス"
"Active","アクティブ"
"Inactive","未アクティブ"
"Websites","Websites"
"Edit","編集"
"Catalog","商品カタログ"
"Contacts","お問合せ"
"Report","レポート"
"Cron","クーロン(Cron)"
"Orders","注文書"
"Reviews","商品レビュー"
"is","と等しい"
"contains","含む"
"1 Hour","1時間"
"6 Hours","6時間"
"12 Hours","12時間"
"Numeric","数字"
"Date","日付"
"Email","メールアドレス"
"Alphanumeric","半角英数字"
"Alphabetical","半角英字"
"Mode","モード"
"name","名前"
"Id","ID"
"Image","画像"
"Quantity","数量"
"Total","合計"
"Information","インフォメーション"
"Rating","商品レビューの星"
"Comment","コメント"
"Close","閉じる"
"Back","戻る"
"Error","エラー"
"View","表示"
"link","リンク"
"Other","その他"
"Remove","削除"
"Notifications","お知らせ"
"2 Hours","2時間"
"24 Hours","24時間"
"critical","致命的な"
"major","メジャー"
"minor","マイナー"
"notice","通知"
" unread)"," 未読)"
"Licensed","Licensed"
"Unlicensed","Unlicensed"
"Category","カテゴリ"
"None","なし"
"Author","作者"
"Horizontal","水平"
"Vertical","垂直"
"Square","四角"
"Panoramic","パノラマ"
"Standard","スタンダード"
"Premium","プレミアム"
"TestMessage","テストメッセージ"
"Done","完了"
"Retry","やり直し"
"Topic %1","トピック %1"
"Task ""%1"": ","タスク ""%1"": "
"Details","詳細"
"Dismiss","無視"
"Invalidated","期限切れ"
"Amounts","売上額"
"Bestsellers","ベストセラー"
"Customers","カスタマー管理"
"Customer","カスタマー"
"Guest","ゲスト様"
"Items","アイテム"
"Average","平均"
"Product","商品"
"Price","価格"
"Views","ビュー"
"Revenue","売上額"
"Tax","税"
"Refresh","更新"
"Clear","クリア"
"Rebuild","再構築"
"Disable","無効"
"Enable","有効"
"Delete","削除"
"Save","保存"
"Store","ストア"
"General","一般"
"Cancel","キャンセル"
"Delete %1","削除 %1"
"Code","コード"
"Disabled","無効"
"Enabled","有効"
"Stores","ストア"
"Home","ホーム"
"Reset","リセット"
"Search","検索"
"[ deleted ]","[ 削除済み ]"
" [deleted]"," [削除済]"
"Export","エクスポート"
"Submit","送信"
"System","システム"
"New ","新規"
"YTD","1年間"
"2YTD","2年間"
"Order","注文"
"Order #%1","オーダーNo.%1"
"Username","ユーザー名"
"Magento","Magento"
"Previous","前"
"Next","次へ進む"
"WK","WK"
"Time","時間"
"Hour","時"
"Minute","分"
"Scope:","スコープ:"
"Images","画像"
"Thumbnail","Thumbnail"
"selected","選択済み"
"of %1","of %1"
"Actions","操作Action"
"Loading...","読み込み中"
"Backups","バックアップ"
"Tools","ツール"
"Backup","バックアップ"
"successful","成功"
"Database","データベース"
"Exclude","除外"
"FTP","FTP"
"Dynamic","動的"
"Fixed","固定"
"SKU","商品番号"
"Together","まとめて"
"Separately","別々"
"Percent","パーセント"
"Drop-down","ドロップダウン"
"Checkbox","チェックボックス"
"Required","必須"
"Quantity:","数量:"
"Position","おすすめ"
"Default","Default"
"Ordered","注文済み"
"Shipped","発送済み"
"Refunded","返金"
"Canceled","キャンセル済"
"Availability","在庫あり"
"%1 x %2","%1 x %2"
"Availability:","在庫状況:"
"Customize %1","%1 をカスタマイズ"
"Subtotal","小計"
"Always","常に"
"Qty","数量"
"Type","種別"
"Promotions","プロモーション"
"Promo","プロモーション"
"Results","結果"
"Grid","表"
"List","リスト"
"Relevance","関係性"
"%1 - %2","%1 - %2"
"Root","ルート"
"Visibility","表示"
"Day","日"
"Month","月"
"Year","年"
"[GLOBAL]","[Global]"
"[WEBSITE]","[Website]"
"Website","Website"
"Global","Global"
"Scope","スコープ"
"Gallery","ギャラリー"
"Text","テキスト"
"Varchar","varchar"
"Static","固定"
"Datetime","日時"
"Decimal","10進数"
"Integer","整数"
"Properties","プロパティ"
"Visible","表示"
"Searchable","検索可能"
"Comparable","比較可能"
"Empty","空"
"Attributes","属性データ項目"
"Change","変更"
"Import","インポート"
"Up-sells","アップセル商品"
"Cross-sells","クロスセル"
"AM","AM"
"PM","PM"
"Price: %1","価格: %1"
"Categories","商品カテゴリ"
"Products","商品データ"
"1 item","1 商品"
"%1 items","%1 商品"
"Manual","手動"
"Discount","値引き"
"24h","24時間表記"
"Stretch","拡大"
"Tile","タイル"
"Center","中央"
"px.","ピクセル"
"Dropdown","ドロップダウン"
"fl","fl"
"Select...","選択..."
"Title","タイトル"
"Groups","グループ"
"Backorders","バックオーダー"
"Action","操作Action"
"Hidden","隠し"
"Role","権限ロール"
"{size}","{size}"
"Compare","比較する"
"Prev","前へ"
"%1 Item","%1 注文"
"Show","表示"
"HTML","HTML"
"Applied","同意チェック"
"Content","コンテンツ"
"Sales","注文管理"
"Automatically","自動"
"Manually","手動"
"City","市区町村"
"Country","国"
"%1: Line %2","%1: %2 行目"
"Checkout","購入手続き"
" item"," 商品"
" items"," 商品"
"Error!","エラー!"
"Item","商品"
"Order #","オーダーNo."
"Identifier","識別子"
"Layout","レイアウト"
"Created","登録日"
"Modified","更新日"
"Preview","プレビュー"
"Images (%1)","画像 (%1)"
"CMS","CMS"
"Blocks","Block要素"
"Pages","ページ"
"NoSuchEntityException","NoSuchEntityException"
"LocalizedException","LocalizedException"
"Add","追加"
"Configuration","設定"
"Invalid %1. %2","無効 %1. %2"
"Bcc","BCC"
"%1 (Default)","%1 (デフォルト)"
"Optional","オプション"
"Specified","指定する"
"test","テスト"
"test2","テスト2"
"Configurations","Configurations"
"Confirm","承認"
"Weight","重量"
"Options","オプション"
"Select","選択"
"Daily","毎日"
"Weekly","週次"
"Monthly","月次"
"Unlimited","無制限"
"region","地域"
"Newsletter","メルマガ購読"
"Subject","件名"
"Sent","送信済"
"Sending","送信中"
"Paused","ポーズ"
"Purchased","購入日"
"Confirmed","確認"
"Indeterminate","未定"
"Offline","オフライン"
"Online","オンライン"
"Never","まだ"
"Unlocked","未ロック"
"Unlock","ロック解除"
"Download","ダウンロード"
"Subscribed","購読中"
"Today","本日"
"Admin","管理者"
"Male","男性"
"Female","女性"
"EmailNotConfirmedException","EmailNotConfirmedException"
"AuthenticationException","AuthenticationException"
"UserLockedException","UserLockedException"
"InputException","InputException"
"Street","番地"
"Visitor","訪問者"
"Newsletters","メルマガ"
"Address","住所"
"State","都道府県"
"Phone","電話"
"Company","会社名"
"Fax","FAX"
"Exception","Exception"
"Pounds","ポンド"
"Kilograms","キログラム"
"Inches","インチ"
"Centimeters","センチメートル"
"inch","インチ"
"cm","cm"
"Height","高さ"
"Depth","奥行き"
"Width","幅"
"Regular","普通配達"
"Specific","特殊配達"
"Sprintline","スプリントライン"
"Secureline","セキュアライン"
"Europack","ユーロパック"
"Express 9:00","エクスプレス 9:00"
"Express 10:30","エクスプレス 10:30"
"Others","その他"
"Express 12:00","エクスプレス 12:00"
"Jetline","ジェットライン"
"DHL","DHL"
"Documents","ドキュメント"
"Error #%1 : %2","エラー #%1 : %2"
"lbs","lbs"
"kgs","kg"
"WARNING:","警告:"
"Currency","通貨"
"Continue","次へ"
"URL","URL"
"attachment","添付ファイル"
"inline","インライン"
"Links","リンク"
"File","ファイル"
"Sample","サンプル"
"Shareable","シェアを可能とする"
"Samples","サンプル"
"U","U"
"Letters","文字列"
"hello","こんにちは"
"expectedResult","expectedResult"
"Template","テンプレート"
"2 Day","2 営業日"
"Ground","陸送"
"Freight","配送"
"Station","ステーション"
"Adult","成人"
"Direct","ダイレクト"
"Indirect","非ダイレクト"
"Constant","不変"
"Filter","フィルタ"
"History","履歴"
"Replace","置き換え"
"Entity 1","Entity 1"
"Ready","準備完了"
"Processing","処理中"
"Integrations","インテグレーション"
"API","API"
"Activate","有効化"
"Reauthorize","再認証"
"Custom","カスタム"
"Resources","リソース"
"Sources","在庫ソース"
"[ID: %1] ","[ID: %1] "
"%message","%message"
"Driving","車移動"
"Walking","徒歩移動"
"Bicycling","自転車移動"
"Distance","距離"
"Synchronous","同期"
"Asynchronous","非同期"
"Stock","在庫数"
"Inventory","在庫"
"Source:","在庫ソース:"
"Partners","パートナーズ"
"Media","メディア"
"Size","サイズ"
"Local","ローカル"
"Synchronize","同期"
"Synchronizing...","同期中..."
"database ""%1""","データベース ""%1"""
"of","の"
"Error:","エラー:"
"Start","開始"
"Pause","ポーズ"
"Resume","レジューム"
"Updated","更新日"
"Sender","送り主"
"Subscribers","購読者"
"Cancelled","キャンセル済"
" Copy","コピー"
"Subscribe","メルマガ登録"
"Templates","テンプレート"
"Delete %1?","%1 を削除してよろしいですか?"
"Page","ページ"
"Failure #1","失敗 #1"
"Failure #2","失敗 #2"
"Visa","Visa"
"Authorize","承認"
"Help","ヘルプ"
"Shortcut","ショートカット"
"Authorization","オーソリ"
"Sale","セール"
"Auto","自動"
"Chargeback","取り消し"
"Complaint","異論"
"Dispute","意義申し立て"
"CNPJ","CNPJ"
"CPF","CPF"
"ending","エンディング"
"expires","失効する"
"Note: %1","注意: %1"
"IPN ""%1""","IPN ""%1"""
"Event","イベント"
"Credit","クレジット"
"Debit","デビット"
"AutoSweep","オートスイープ"
"Charge-off","処理費用"
"Funding","ファンディング"
"Incentive","インセンティブ"
"Reauthorization","再権限設定"
"Reversal","破棄"
"Void","無効"
"Blue","ブルー"
"Silver","シルバー"
"Black","ブラック"
"Pill","ソーセージ形"
"Rectangle","長方形"
"Pay","支払い"
"PayPal","PayPal"
"Installment","分割払い"
"White","ホワイト"
"Gray","グレー"
"Monochrome","モノクローム"
"Grayscale","グレースケール"
"Left","レフト"
"Right","ライト"
"Top","トップ"
"Primary","プライマリー"
"Alternative","オルターナティブ"
"Sidebar","サイドバー"
"Flex","フレックス"
"here","ここ"
"Important: ","重要:"
"Status:","状態:"
"Created:","作成日:"
"Updated:","アップデート日:"
"Create...","作成..."
"&nbsp;","&nbsp;"
"Price:","価格:"
"Title:","表題:"
"Uploaded:","アップロード済み:"
"Uploader:","アップローダー:"
"Duration:","長さ:"
"Period","期間"
"Downloads","ダウンロード"
"Purchases","購入品"
"CSV","CSVファイル"
"Interval","期間"
"Detail","詳細"
"Uses","使用"
"Profit","利益"
"Paid","支払済"
"Rate","レート"
"Carts","カート"
"Review","商品レビュー"
"Coupons","クーポン"
"Statistics","統計"
"Nickname","ニックネーム"
"Administrator","管理者"
"Reviews %1","レビュー %1"
"Ratings","商品レビューの星"
"Approved","承認済み（公開）"
"Feed","RSS設定"
"Apply","適用"
"by","より"
"TRUE","TRUE"
"FALSE","FALSE"
"Generate","生成"
"Used","使用済"
"Labels","ラベル"
"Rule","ルール"
"End","終了"
"Discount (%1)","値引き (%1)"
"FOUND","見つけた"
"Invoices","請求書"
"Billing","請求"
"%1 for %2","%2 のための %1"
"Refund","返金"
"Print","印刷"
"Capture","取込"
"Invoice #%1 | %2 | %4 (%3)","請求書 #%1 | %2 | %4 (%3)"
"Hold","保留中に変更"
"Unhold","保留中を解除"
"Invoice","請求書"
"Ship","発送情報"
"Reorder","再度購入"
"Order # %1 %2 | %3","オーダーNo.%1 %2 | %3"
"Shipments","発送情報"
"Transactions","支払トランザクション"
"Fetch","フェッチ"
"Transaction # %1 | %2","トランザクション # %1 | %2"
"Key","キー"
"Order # %1","オーダーNo.%1"
"Unassign","割当解除"
"Backordered","バックオーダー中"
"Returned","返品済"
